year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1963,98.53407406,13.55923292,1.432983307,40.89903724,42.28659112,0,0,11.59123588,76.85928544
1964,100,0,0,13.6194309,85.37655971,4.304412985,19.68157076,0,46.8774762
1965,85.56044906,7.460680323,10.53669962,58.04227181,84.85906743,11.44765173,16.51194202,21.09492471,55.00367207
1966,69.14403579,14.1814507,21.83805639,100,88.21827402,11.78221721,25.69003117,19.97212283,76.09986215
1967,63.81139079,16.9296435,29.43528658,98.62073304,26.93365189,21.85093943,2.952467963,34.81244867,67.85229392
1968,62.27801237,14.24818304,19.42007922,87.2360235,51.89499489,6.744169219,22.59393649,22.52360212,58.05181469
1969,52.56843004,17.51576959,26.1825049,67.18453818,82.65797798,1.35910196,18.03703086,37.53561181,73.71614862
1970,48.30184889,13.89953035,36.65735465,69.88896593,100,12.17079271,18.84300255,43.03884314,72.54687931
1971,44.89040586,18.31591311,38.06106645,71.86581211,86.03981568,13.42829371,15.8761026,53.82401616,62.83049517
1972,46.62366984,21.92862298,39.77674078,68.99668944,83.36306463,8.818647489,15.7901695,82.09775532,76.97777682
1973,40.76923033,20.82579319,40.77286802,72.10661747,51.17956078,9.257772165,22.64758367,71.43380553,62.97819639
1974,36.37139584,21.79183652,50.16422679,78.69107222,71.19723464,15.32826916,16.99466367,80.42138055,69.03078586
1975,36.40111466,25.22059423,44.96466271,64.2885798,48.49037587,12.31820361,15.15097398,57.32890474,66.07945732
1976,34.10069791,41.15099674,52.28548298,58.70006474,64.63460939,15.73226684,12.89480255,60.9795145,87.02204818
1977,30.41835692,44.36984477,53.7194684,72.80202297,72.14804034,13.72799275,20.63059843,66.1285221,76.54452471
1978,21.99923972,54.43710612,55.32512527,80.59086463,42.90899602,17.40071487,10.4042099,74.68982817,88.92927178
1979,14.37648199,63.03467444,64.65187362,80.50586305,63.98092626,17.18917319,25.87882589,81.87781159,100
1980,9.788117723,62.18697263,68.12861525,63.56947248,29.19823677,24.14240983,14.4355767,92.34570936,91.35794826
1981,11.26923967,59.9754971,64.08284678,59.37929003,53.07352341,25.02805645,13.89208805,92.49464627,82.45224785
1982,10.64845634,57.97542018,64.73737671,66.6864732,51.12493515,20.07475367,18.78589647,83.86932167,74.06341899
1983,7.628915733,78.70886494,67.70284584,61.80949041,41.8508815,19.03035574,18.78735123,82.72404684,89.44067053
1984,4.755574987,76.41297668,78.01740407,46.34895172,41.16257075,29.25694685,12.54155003,90.80315984,96.0974139
1985,7.008540653,85.01053736,69.54017184,54.33504769,33.90920012,14.87643121,6.343497427,82.36826076,96.16738252
1986,5.446298309,75.99497267,75.97651239,45.89194984,26.727726,11.32460353,9.974574058,84.47746185,93.41856301
1987,5.845788153,78.00254644,70.28617039,44.0809611,7.713914239,5.833502758,9.316028661,66.03578904,83.84184864
1988,0,77.46409146,79.35093773,37.46005925,20.04032777,11.95987166,21.2048422,61.62747619,81.12459383
1989,1.190247072,86.4164632,78.67895562,38.01861967,37.69119244,13.56368906,37.02374183,48.79448587,79.22655526
1990,2.69639997,83.38793541,76.69841689,31.02383507,28.95445092,20.51159167,37.20466342,50.15679204,70.31962004
1991,8.561649961,85.73624136,67.71828286,33.56622014,30.81445308,19.89562376,32.74485213,40.85451111,60.79731853
1992,6.901704312,77.15220781,69.94879735,32.30837723,36.72748808,26.1028199,36.28700673,39.43894717,49.88555882
1993,6.213395045,77.81035403,69.74372125,35.01841845,45.77886786,30.75535842,36.94258212,41.2557934,41.51521109
1994,10.3636621,77.35450219,63.13522912,24.93565225,38.06647325,35.22407717,50.42583028,41.04478951,37.44597415
1995,7.668963174,69.18971997,71.61817624,25.27364701,36.01581824,47.63723946,50.37063049,35.83205476,35.05434215
1996,9.544353644,69.05527681,70.12569577,31.30345943,33.01613878,50.4599429,59.41339385,22.13264867,31.35741128
1997,8.725606878,80.32336386,70.70531665,23.32465393,35.80164694,55.61989148,64.48705916,15.22239366,43.05443824
1998,7.311006378,73.55183809,76.75859031,19.70764544,57.37534177,64.37606312,65.60695458,24.87406091,29.93756266
1999,6.344862757,77.00567416,81.22374042,23.71730374,62.17207804,63.93897152,85.01767329,23.06586565,30.09600152
2000,2.716767334,84.67190794,85.46187568,14.24869744,48.36085944,73.96427649,88.02769938,27.20711283,38.03004367
2001,2.125912912,86.72861458,89.16961159,19.38594636,38.94646959,80.60407037,86.17801617,35.91181458,44.85518955
2002,5.616847992,79.18625845,87.08337278,19.11721075,26.6023553,81.2198101,77.27877655,32.40983295,46.98311501
2003,2.338496454,73.79960266,94.15382404,4.657638374,30.69312018,92.23381636,77.33804542,40.48618136,34.91604709
2004,0.766035088,72.15089941,97.86200458,3.442249406,38.75469288,95.79931822,83.23003613,58.28994746,32.71301493
2005,2.555129872,69.41480578,97.26949361,4.793423836,34.75088057,95.62903531,73.44968167,67.97926697,30.46386675
2006,2.598192312,68.75940908,100,5.483480651,42.55535627,98.80803253,75.6124815,67.83520815,23.94558807
2007,5.706490995,63.92791325,96.16914298,3.940671857,35.42186345,100,60.63206206,86.05534077,20.2228623
2008,5.008384307,57.80618696,94.54987226,9.15748951,29.48855173,97.17867836,49.02083484,99.44043536,13.2399268
2009,2.800539172,52.6419335,97.67553318,9.480466733,39.37112766,98.8012697,44.49789619,100,6.248588168
2010,1.916198903,62.15618598,95.65337432,12.93249324,25.77436323,95.50463634,44.32317584,84.13484934,18.73101953
2011,4.050891526,62.73667465,94.38380757,12.80310738,26.00583174,96.60216585,43.21986139,80.55759594,13.99614306
2012,3.607256172,62.2912903,95.70244948,14.1858214,23.26744622,94.41418874,41.15728101,79.84349645,9.43100198
2013,7.141984529,58.95566735,91.06135977,15.73298679,27.63029859,92.34927594,42.85443073,82.4134184,3.927309395
2014,6.240370423,63.7312825,90.83273664,18.36971685,20.47477848,89.41457193,45.51567149,77.0597116,9.541161136
2015,1.664315733,74.65722352,94.99340116,10.06871389,24.81481633,94.17500128,57.12582671,78.61971751,13.58352363
2016,4.859545763,79.55829745,86.86988743,7.715959871,20.33145939,90.05657516,74.6688601,62.02429418,2.259439267
2017,5.933309644,92.70935208,80.67764269,8.698125399,11.66142901,87.73707886,89.81952592,64.18647163,5.249571439
2018,5.140700647,100,80.39021208,0,6.678125974,89.11468174,100,64.13998007,4.199840055
2019,11.17246679,99.76836414,70.97385678,8.169907063,0,81.95382535,96.01392248,57.4114329,0
