Artists,Count,Decade,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Barbra Streisand,514,1960,0.842467312,0.319079474,185739.8337,0.272710343,0.001735707,0.216933883,-14.08692108,0.063664865,102.2906975,0.289817473
Bill Cosby,670,1960,0.884163771,0.540717693,249522.8403,0.617893785,0.001580488,0.768738278,-13.50007178,0.862879325,93.56318024,0.520354477
Herb Alpert & The Tijuana Brass,751,1960,0.532912631,0.626094964,152141.2829,0.451128598,0.663501867,0.166855492,-12.02011193,0.071636628,119.9331203,0.625368297
Andy Williams,561,1960,0.813811646,0.308159314,166608.8362,0.273750594,0.0093308,0.181565657,-14.30710146,0.035610131,102.0659875,0.321804159
Nat King Cole,484,1960,0.749419285,0.453632134,166465.3816,0.344457203,0.062824896,0.257850154,-12.99304506,0.087103392,103.0731586,0.49769641
Elton John,561,1970,0.328705602,0.520715089,274303.6627,0.613992803,0.015340116,0.234512854,-9.474663386,0.044708052,129.8598216,0.578892
John Denver,624,1970,0.715125046,0.458306155,203707.942,0.30021981,0.011406902,0.209844401,-13.27800874,0.051968654,116.2083795,0.519895908
Chicago,706,1970,0.281549406,0.486922727,265557.2784,0.65743801,0.246086276,0.24225367,-8.656710541,0.064565536,123.7782506,0.547973639
Led Zeppelin,600,1970,0.244632392,0.410941134,325192.1381,0.670787301,0.191256153,0.239438479,-10.46788724,0.061422496,115.8352635,0.530767621
Carole King,539,1970,0.655292172,0.554604123,215106.3838,0.358692,0.023033025,0.122441344,-12.36363518,0.033707263,120.5346556,0.523546188
Pat Benatar,422,1980,0.164109602,0.589081986,245380.5738,0.64032392,0.102698133,0.18166237,-11.26978572,0.044617599,130.9860496,0.653515446
U2,560,1980,0.148979938,0.444137016,254203.441,0.693870688,0.14428345,0.281386284,-10.28121861,0.052563439,126.9049865,0.486935768
Pink Floyd,679,1980,0.390973312,0.397131336,255799.7154,0.378075325,0.468978093,0.263662182,-16.17631767,0.055916084,118.1510357,0.264343891
Phil Collins,432,1980,0.322454344,0.547968907,277132.3376,0.649660965,0.114461787,0.275893134,-8.50270375,0.046373437,124.5106076,0.470771209
Willie Nelson,416,1980,0.653996497,0.546896995,205483.3454,0.317178902,0.037101925,0.170237921,-14.19787688,0.05445222,107.5911717,0.3625899
George Strait,535,1990,0.39825088,0.576203144,191294.1463,0.496890416,0.007324206,0.167533803,-10.70868479,0.031126727,121.9009074,0.530091274
Bob Seger & The Silver Bullet Band,778,1990,0.12954233,0.616310915,264763.6286,0.731838111,0.034461207,0.19428733,-6.963821401,0.105725451,115.9215871,0.602076393
Fleetwood Mac,1339,1990,0.132752889,0.608980703,265456.0568,0.733077012,0.040804462,0.225494656,-7.084734218,0.104808982,116.0626129,0.603676937
Reba McEntire,567,1990,0.4034975,0.55749819,220355.2461,0.473905547,0.004019676,0.132413626,-9.940261896,0.03767586,114.9732664,0.404191713
Brooks & Dunn,529,1990,0.204358684,0.669713697,215570.7916,0.615453267,0.005048514,0.183540922,-9.431358162,0.031552612,125.2821475,0.674991257
Red Hot Chili Peppers,914,2000,0.115494037,0.59444012,264600.1823,0.75205275,0.038484824,0.190071917,-6.302029797,0.102880882,116.4036868,0.574925758
Fleetwood Mac,1327,2000,0.133364016,0.616700008,263776.1253,0.732015373,0.036429942,0.19775152,-7.010523964,0.105299566,116.3398741,0.604842582
2Pac,1351,2000,0.12779887,0.12779887,263622.9254,0.734709178,0.033378482,0.197186232,-6.857634247,0.117285411,115.5663971,0.605173287
Bob Seger & The Silver Bullet Band,1260,2000,0.126677525,0.618275,264787.8583,0.7337,0.03571768,0.1979825,-6.973616667,0.108574167,115.8764417,0.602825
Guns N' Roses,700,2000,0.124707313,0.609506418,267213.4877,0.737823184,0.038831154,0.211677079,-6.967277435,0.108349902,116.5538755,0.591999469
Guns N' Roses,1750,2010,0.124745669,0.611091825,264956.2782,0.740954474,0.037828937,0.200517366,-7.008809269,0.107581633,116.3359613,0.596273045
Bob Seger & The Silver Bullet Band,1805,2010,0.128236961,0.614588682,263876.5492,0.736039886,0.034115365,0.202262159,-6.870207636,0.104544652,116.519763,0.600733073
Fleetwood Mac,1900,2010,0.157183844,0.614649822,262574.5069,0.711103042,0.045557535,0.208751289,-7.408258081,0.101442242,117.2833819,0.599415166
Red Hot Chili Peppers,1757,2010,0.126598726,0.615614581,264229.4937,0.735718808,0.035045182,0.197435717,-6.894546886,0.106943596,116.0188091,0.60015135
Tom Petty And The Heartbreakers,1728,2010,0.130277686,0.616957132,264607.1847,0.730977163,0.035249087,0.19953879,-6.985575809,0.107039427,115.9163449,0.601514855
